region_id	ref_name	start_1based	end	length_bp	region_type	region_strand	boundary_flux_left	boundary_flux_right	tx_pos_bp	tx_neg_bp	exon_pos_bp	exon_neg_bp	gdna_source_total	gdna_false_rna	gdna_false_mrna	gdna_false_nrna	gdna_false_rna_rate	rna_source_total	rna_false_gdna	exon_interval_count	exon_transcript_count	exon_gene_count	transcript_span_count	transcript_span_gene_count
50771	chr1	200404940	200409723	4784	EXON	NEG	True	True	4784	4784	0	4784	901	508	200	308	0.5638179800221975	843	13	4	3	1	4	2
173114	chr4	124668984	124672534	3551	EXON	NEG	True	True	0	3551	0	3551	1374	505	505	0	0.3675400291120815	1064	62	2	2	1	2	1
39689	chr1	155014448	155015814	1367	EXON	POS	True	True	1367	0	1367	0	1266	504	474	30	0.3981042654028436	3200	28	5	5	1	5	1
98760	chr2	177612999	177618742	5744	EXON	AMBIG	True	False	5574	5744	505	5744	922	503	0	503	0.5455531453362256	154	18	3	2	2	2	2
261839	chr7	89333363	89338528	5166	EXON	POS	True	False	5166	0	5166	0	1646	502	442	60	0.30498177399756987	0	0	2	2	1	2	1
375621	chr11	66314494	66317044	2551	EXON	NEG	True	True	2551	2551	0	2551	1644	502	0	502	0.305352798053528	4	1	1	1	1	2	2
99076	chr2	178578790	178580906	2117	EXON	AMBIG	True	True	2117	2117	2117	1455	769	501	11	490	0.6514954486345904	30	1	49	13	2	40	3
68906	chr2	27566735	27582722	15988	EXON	POS	True	False	15988	0	15988	0	1931	499	141	358	0.25841532884515794	158	156	1	1	1	1	1
640071	chrX	67723686	67730619	6934	EXON	POS	True	False	6934	0	6934	0	1949	499	492	7	0.2560287326834274	5875	662	5	4	1	4	1
301558	chr8	138151194	138153216	2023	EXON	NEG	True	True	0	2023	0	2023	1557	495	452	43	0.3179190751445087	12	2	4	4	1	4	1
608674	chr21	8410646	8417756	7111	INTRON	POS	False	False	7111	0	0	0	1068	495	0	495	0.46348314606741575	2	1	0	0	0	2	1
114393	chr3	3844364	3849834	5471	EXON	POS	True	True	5471	5471	5471	0	1007	494	349	145	0.49056603773584906	328	34	2	2	1	3	2
584289	chr19	46491191	46496502	5312	EXON	AMBIG	True	True	1995	5312	1995	4689	1202	493	0	493	0.4101497504159734	1	0	3	3	2	5	3
607076	chr20	62877738	62882414	4677	EXON	NEG	False	True	0	4677	0	4677	1414	491	491	0	0.34724186704384724	2656	153	2	2	1	2	1
210835	chr5	176595532	176599877	4346	EXON	AMBIG	True	True	443	4076	443	4076	1803	491	490	1	0.2723239046034387	1608	326	4	4	2	4	2
